name,year,set,cardNo,team,c,pu,so,gb,fb,bb,si,sip,du,tr,hr,points,ip,hand,icon,pos
Dan Reichert,'01,,208,Royals,2,1-2,3-6,7-14,15-16,17-18,19-20,-,-,-,-,340,07,R,,Starter
Mariano Rivera,'03,,209,Yankees,5,1-,2-6,7-13,14-16,17-19,20-22,-,23-25,-,26+,230,1,R,,Closer
Jeff Montgomery,'00,,209,Royals,4,3-5,1-2,6-11,12-14,15-,16-19,-,20-,-,-,100,1,R,,Closer
Javier Vazquez,'02,,209,Expos,3,1-3,4-9,10-14,15-18,-,19-,-,20-23,-,24+,410,07,R,,Starter
Tom Glavine,'05,,209,Mets,4,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+,390,6,L,,Starter
Zach Day,'04,,209,Expos,2,1-,2-3,4-13,14-16,17-,18-19,-,20-26,-,27+,90,6,R,R,Starter
Jose Santiago,'01,,210,Royals,5,1-2,3-5,6-12,13-15,16-,17-19,-,20-,-,-,290,2,R,,Reliever
Jeff Suppan,'01,,211,Royals,1,1-3,4-6,7-13,14-17,18-,19-,-,20-,-,-,240,07,R,,Starter
Jose Rosado,'00,,211,Royals,4,5-6,1-4,7-11,12-16,17-,18-19,-,20-,-,-,450,6,L,,Starter
Mike Stanton,'03,,211,Yankees,3,1-3,4-6,7-12,13-16,17-,18-19,-,20-25,-,26+,140,1,L,,Reliever
Al Leiter,'05,,211,Mets,3,1-3,4-7,8-13,14-15,16-17,18-19,-,20-24,-,25+,300,6,L,,Starter
Javier Vazquez,'04,,212,Expos,5,1-,2-7,8-12,13-16,17-,18-19,-,20-23,-,24+,560,7,R,,Starter
Braden Looper,'05,,212,Mets,4,1-2,3-6,7-15,16-,17-,18-23,-,24-26,-,27+,180,1,R,,Closer
Mac Suzaki,'01,,212,Royals,2,1-3,4-7,8-13,14-17,18-,19-,-,20-,-,-,320,6,R,,Starter
Scott Service,'00,,213,Royals,0,7-8,1-6,9-13,14-18,19-,20-,-,-,-,-,70,1,R,,Reliever
Jeff Weaver,'03,,213,Yankees,4,1-4,5-7,8-14,15-16,17-,18-19,-,20-23,-,24+,400,6,R,,Starter
Kevin Appier,'02,,213,Mets,1,1-4,5-9,10-15,16-19,20-23,-,-,-,-,24+,350,6,R,,Starter
Armando Benitez,'02,,214,Mets,2,1-2,3-11,12-14,15-19,20-,-,-,-,-,21+,120,1,R,,Closer
Terry Adams,'01,,215,Dodgers,3,1-2,3-6,7-15,16-17,18-,19-20,-,-,-,-,210,1,R,,Reliever
Jeff Suppan,'00,,215,Royals,5,3-4,1-2,5-11,12-15,16-,17-19,-,20-,-,-,460,6,R,,Starter
John Franco,'02,,216,Mets,1,1-2,3-9,10-16,17-19,20-,-,-,-,-,21+,50,1,L,,Reliever
John Franco,'04,,217,Mets,2,1-2,3-5,6-15,16-17,18-,19-21,-,22-23,-,24+,90,1,L,,Reliever
Jay Witasick,'00,,217,Royals,3,4-5,1-3,6-11,12-15,16-17,18-20,-,-,-,-,280,6,R,,Starter
Kevin Brown,'01,,217,Dodgers,4,1-2,3-7,8-14,15-17,-,18-19,-,20-,-,-,570,07,R,,Starter
Kevin Brown,'01,,217,Dodgers,4,1-2,3-7,8-14,15-17,-,18-19,-,20-,-,-,570,07,R,,Starter
Al Leiter,'02,,217,Mets,1,1-5,6-10,11-16,17-19,-,20-24,-,-,-,25+,340,6,L,,Starter
Kevin Brown,'01,,217,Dodgers,4,1-2,3-7,8-14,15-17,-,18-19,-,20-,-,-,570,07,R,,Starter
Kevin Brown,'05,,218,Yankees,4,1-2,3-5,6-12,13-16,17-18,19-20,-,21-24,-,25+,320,6,R,,Starter
Tim Hudson,'03,,219,Athletics,3,1-2,3-6,7-14,15-16,17-,18-20,-,21-23,-,24+,330,07,R,,Starter
Pedro Borbon,'00,,219,Dodgers,5,4-5,1-3,6-9,10-15,16-18,19-,-,20-,-,-,140,1,L,,Reliever
Darren Dreifort,'01,,219,Dodgers,3,1-2,3-7,8-14,15-16,17-18,19-,-,-,-,20+,270,6,R,,Starter
Billy Koch,'03,,220,Athletics,4,1-5,6-11,12-16,17-19,20-21,-,22-23,-,24+,,200,1,R,RP,Closer
Kevin Brown,'00,,220,Dodgers,5,6-8,1-5,9-13,14-16,17-,18-19,-,20-,-,-,600,07,R,,Starter
Tom Gordon,'05,,220,Yankees,6,1-3,4-9,10-15,16-17,18-,19-,-,20-25,-,26+,300,1,R,,Reliever
Glendon Rusch,'02,,220,Mets,4,1-3,4-7,8-11,12-15,-,16-19,-,20-21,-,22+,150,5,L,,Starter
Mark Mulder,'03,,222,Athletics,5,1-,2-5,6-12,13-16,17-,18-19,-,20-22,-,23+,500,07,L,,Starter
Steve Trachsel,'02,,222,Mets,2,1-3,4-8,9-14,15-18,-,19-,-,-,-,20+,200,6,R,,Starter
Steve Trachsel,'04,,223,Mets,3,1-,2-4,5-10,11-16,17-,18-19,-,20-23,-,24+,190,6,R,,Starter
Roger Clemens,'02,,224,Yankees,5,1-2,3-8,9-13,14-16,17-,18-19,-,20-25,-,26+,440,07,R,,Starter
Barry Zito,'03,,224,Athletics,5,1-2,3-6,7-11,12-17,18-19,20-21,-,22-,-,23+,610,07,L,"CY,20",Starter
Dave Weathers,'04,,224,Mets,2,1-,2-6,7-13,14-16,17-,18-19,-,20-25,-,26+,80,1,R,,Closer+0
Paul Quantrill,'05,,224,Yankees,2,1-,2-3,4-11,12-15,16-,17-19,-,20-26,-,27+,60,1,R,,Reliever
Mariano Rivera,'05,,225,Yankees,5,1-,2-6,7-14,15-16,17-,18-23,-,24-26,-,27+,240,1,R,RP,Closer
Chan Ho Park,'00,,226,Dodgers,4,6-8,1-5,9-11,12-14,15-17,18-19,-,20-,-,-,200,6,R,,Starter
Roger Clemens,'04,,226,Yankees,5,1-2,3-8,9-14,15-17,18-,19-21,-,22-23,-,24+,520,7,R,,Starter
Chris Hammond,'04,,227,Yankees,4,1-4,5-8,9-13,14-16,17-,18-19,-,20-25,-,26+,150,1,L,,Reliever
Jeff Shaw,'00,,227,Dodgers,6,4-6,1-3,7-10,11-15,16-,17-20,-,-,-,-,200,1,R,,Closer
Chan Ho Park,'01,,227,Dodgers,5,1-2,3-7,8-12,13-15,16-17,18-19,-,20-,-,-,470,07,R,,Starter
Jeff Shaw,'01,,228,Dodgers,3,1-4,5-8,9-13,14-17,-,18-19,-,20-,-,-,170,1,R,,Closer
Javier Vazquez,'05,,228,Yankees,3,1-,2-5,6-10,11-16,17-,18-20,-,21-22,-,23+,320,6,R,,Starter
Brandon Duckworth,'03,,228,Phillies,2,1-2,3-8,9-13,14-16,17-,18-19,-,20-,-,21+,170,5,R,R,Starter
Ismael Valdes,'00,,229,Dodgers,3,5-6,1-4,7-11,12-16,-,17-18,-,19-,-,20+,180,6,R,,Starter
Ramiro Mendoza,'02,,229,Yankees,2,1-3,4-8,9-16,17-19,-,20-24,-,-,-,25+,150,2,R,,Reliever
Juan Acevedo,'01,,230,Brewers,2,1-4,5-8,9-13,14-17,-,18-19,-,20-,-,-,90,1,R,,Reliever
Mike Mussina,'02,,230,Yankees,5,1-3,4-9,10-14,15-17,-,18-19,-,20-25,-,26+,570,07,R,,Starter
Andy Pettitte,'02,,231,Yankees,5,1-2,3-7,8-13,14-16,-,17-19,-,20-26,-,27+,430,6,L,,Starter
Mike Mussina,'04,,231,Yankees,5,1-,2-6,7-12,13-16,17-,18-19,-,20-24,-,25+,510,7,R,,Starter
Andy Pettitte,'04,,232,Yankees,5,1-2,3-7,8-14,15-,16-17,18-19,-,20-24,-,25+,330,7,L,20,Starter
Jose Mesa,'03,,232,Phillies,2,1-3,4-8,9-14,15-16,17-,18-19,-,20-24,-,25+,110,1,R,,Closer
Mariano Rivera,'02,,233,Yankees,5,1-2,3-9,10-16,17-18,-,19-26,-,-,-,27+,300,1,R,,Closer
Vincente Padilla,'03,,233,Phillies,4,1-3,4-6,7-14,15-16,17-,18-19,-,20-23,-,24+,440,07,R,R,Starter
Jeff D'Amico,'01,,234,Brewers,3,1-3,4-6,7-12,13-17,18-,19-20,-,-,-,-,530,07,R,,Starter
Jeff D'Amico,'01,,234,Brewers,3,1-3,4-6,7-12,13-17,18-,19-20,-,-,-,-,530,07,R,,Starter
Jeff D'Amico,'01,,234,Brewers,3,1-3,4-6,7-12,13-17,18-,19-20,-,-,-,-,530,07,R,,Starter
Mariano Rivera,'04,,234,Yankees,5,1-2,3-7,8-15,16-,17-,18-23,-,24-26,-,27+,220,1,R,,Closer
Valerio de los Santos,'01,,235,Brewers,4,1-4,5-9,10-13,14-16,17-,18-19,-,-,-,20+,100,1,L,,Reliever
Mike Stanton,'02,,235,Yankees,5,1-3,4-9,10-13,14-16,17-,18-19,-,20-26,-,27+,100,1,L,,Reliever
Jeff Weaver,'04,,236,Yankees,1,1-4,5-7,8-14,15-16,17-,18-19,-,20-25,-,26+,10,5,R,,Starter
Josh Fogg,'03,,236,Pirates,2,1-3,4-7,8-14,15-16,17-,18-19,-,20-21,-,22+,160,6,R,R,Starter
Mark Mulder,'05,,238,Athletics,4,1-,2-5,6-14,15-17,18-,19-,-,20-24,-,25+,400,7,L,,Starter
Jimmy Haynes,'01,,238,Brewers,4,1-3,4-5,6-11,12-14,15-16,17-19,-,20-,-,-,230,6,R,,Starter
Chad Bradford,'04,,239,Athletics,3,1-2,3-6,7-15,16-,17-,18-19,-,20-24,-,25+,120,1,R,,Reliever
Scott Karl,'00,,239,Brewers,3,3-4,1-2,5-11,12-15,16-,17-19,-,20-,-,-,220,6,L,,Starter
Ricardo Rincon,'05,,239,Athletics,2,1-2,3-7,8-13,14-17,18-,19-23,-,24-26,-,27+,120,1,L,,Reliever
Kip Wells,'03,,240,Pirates,2,1-2,3-6,7-14,15-16,17-,18-19,-,20-22,-,23+,200,6,R,,Starter
Barry Zito,'05,,241,Athletics,2,1-3,4-7,8-12,13-16,17-,18-19,-,20-23,-,24+,160,6,L,,Starter
Mike Williams,'03,,241,Pirates,5,1-3,4-7,8-14,15-16,17-,18-19,-,20-23,-,24+,220,1,R,,Closer
Mike Myers,'00,,241,Brewers,0,7-8,1-6,9-14,15-18,-,19-,-,-,-,20+,40,1,L,,Reliever
Curtis Leskanic,'01,,241,Brewers,6,1-2,3-6,7-11,12-14,15-17,18-19,-,20-,-,-,160,1,R,,Reliever
Keith Foulke,'04,,242,Athletics,6,1-3,4-9,10-13,14-17,-,18-19,-,20-23,-,24+,240,1,R,RP,Closer
Hideo Nomo,'00,,243,Brewers,3,7-8,1-6,9-11,12-16,17-18,19-,-,20-,-,-,330,6,R,,Starter
Tim Hudson,'02,,243,Athletics,2,1-3,4-8,9-17,18-19,-,20-25,-,-,-,26+,520,07,R,,Starter
Dave Weathers,'01,,244,Brewers,5,1-2,3-5,6-11,12-15,16-,17-19,-,20-,-,-,180,1,R,,Reliever
Jason Isringhausen,'02,,244,Athletics,5,1-2,3-9,10-15,16-18,-,19-,-,20-26,-,27+,270,1,R,,Closer
Rheal Cormier,'05,,245,Phillies,4,1-2,3-5,6-13,14-15,16-17,18-19,-,20-24,-,25+,160,1,L,,Reliever
Trevor Hoffman,'03,,245,Padres,5,1-3,4-10,11-14,15-16,17-,18-22,-,23-25,-,26+,230,1,R,,Closer
Tim Hudson,'04,,245,Athletics,5,1-,2-5,6-14,15-17,18-,19-22,-,23-25,-,26+,640,8,R,,Starter
Mark Mulder,'02,,246,Athletics,3,1-3,4-7,8-15,16-18,-,19-26,-,-,-,27+,540,07,L,,Starter
Bob Wickman,'00,,246,Brewers,4,6-7,1-5,8-13,14-15,16-17,18-20,-,-,-,-,150,1,R,,Closer
Steve Woodard,'00,,247,Brewers,3,5-7,1-4,8-12,13-16,-,17-19,-,20-,-,-,310,6,R,,Starter
Mark Mulder,'04,,247,Athletics,4,1-,2-5,6-13,14-16,17-,18-19,-,20-25,-,26+,390,7,L,,Starter
Eric Milton,'05,,248,Phillies,4,1-3,4-6,7-14,15-16,17-,18-19,-,20-23,-,24+,380,7,L,,Starter
Brian Lawrence,'03,,248,Padres,3,1-,2-4,5-12,13-15,16-,17-19,-,20-24,-,25+,210,6,R,,Starter
Ricardo Rincon,'04,,248,Athletics,2,1-2,3-5,6-11,12-15,16-17,18-19,-,20-25,-,26+,80,1,L,,Reliever
LaTroy Hawkins,'01,,248,Twins,5,1-2,3-5,6-11,12-15,16-,17-19,-,20-,-,-,180,1,R,,Reliever
Vicente Padilla,'05,,249,Phillies,3,1-3,4-7,8-14,15-17,-,18-19,-,20-23,-,24+,230,6,R,,Starter
Barry Zito,'02,,249,Athletics,4,1-4,5-10,11-14,15-17,18-,19-25,-,-,-,26+,530,6,L,,Starter
Kurt Ainsworth,'03,,250,Giants,2,1-2,3-5,6-12,13-16,17-,18-21,-,22-25,-,26+,250,5,R,R,Starter
Barry Zito,'04,,251,Athletics,4,1-2,3-6,7-12,13-17,18-,19-22,-,23-25,-,26+,530,7,L,,Starter
Lance Carter,'05,,251,Devil Rays,4,1-4,5-6,7-11,12-16,17-,18-19,-,20-23,-,24+,150,1,R,,Reliever
Ricky Bottalico,'02,,252,Phillies,2,1-4,5-9,10-14,15-18,19-,-,-,20-,-,21+,20,1,R,,Reliever
Ryan Jensen,'03,,253,Giants,2,1-2,3-5,6-11,12-16,17-,18-19,-,20-22,-,23+,160,5,R,R,Starter
Omar Daal,'02,,254,Phillies,1,1-4,5-6,7-13,14-18,-,19-,-,20-,-,21+,150,6,L,,Starter
Eric Milton,'01,,255,Twins,3,1-4,5-9,10-13,14-17,-,18-,-,19-,-,20+,250,6,L,,Starter
Billy Wagner,'05,,255,Phillies,6,1-2,3-9,10-15,16-18,-,19-21,-,22-23,-,24+,310,1,L,,Closer
Robb Nen,'03,,255,Giants,5,1-,2-7,8-13,14-16,17-,18-22,-,23-26,-,27+,230,1,R,,Closer
Joe Mays,'00,,255,Twins,3,4-6,1-3,7-12,13-16,17-,18-19,-,20-,-,-,390,07,R,,Starter
Rheal Cormier,'04,,256,Phillies,6,1-2,3-6,7-14,15-16,17-,18-19,-,20-26,-,27+,250,1,L,,Reliever
Randy Wolf,'05,,256,Phillies,3,1-3,4-6,7-12,13-16,17-,18-19,-,20-23,-,24+,230,6,L,,Starter
Nelson Figueroa,'02,,256,Phillies,3,1-4,5-7,8-13,14-16,17-,18-19,-,20-24,-,25+,190,6,R,,Starter
Vicente Padilla,'04,,257,Phillies,3,1-,2-5,6-12,13-16,17-,18-19,-,20-24,-,25+,270,7,R,,Starter
Brad Radke,'01,,257,Twins,2,1-3,4-7,8-14,15-17,-,18-19,-,20-,-,-,350,07,R,,Starter
Brad Radke,'01,,257,Twins,2,1-3,4-7,8-14,15-17,-,18-19,-,20-,-,-,350,07,R,,Starter
Eric Milton,'00,,257,Twins,6,5-6,1-4,7-9,10-15,16-,17-19,-,20-,-,-,530,6,L,,Starter
Brad Radke,'01,,257,Twins,2,1-3,4-7,8-14,15-17,-,18-19,-,20-,-,-,350,07,R,,Starter
Brad Radke,'00,,258,Twins,4,4-6,1-3,7-12,13-16,-,17-19,-,20-,-,-,480,07,R,,Starter
Mark Redman,'01,,258,Twins,2,1-3,4-8,9-12,13-17,-,18-19,-,20-,-,-,280,6,L,,Starter
Robert Person,'02,,258,Phillies,2,1-4,5-10,11-13,14-18,19-,-,-,-,-,20+,180,6,R,,Starter
Bob Wells,'01,,259,Twins,6,1-3,4-8,9-10,11-15,16-,17-19,-,20-,-,-,210,1,R,,Reliever
Mike Trombley,'00,,260,Twins,5,6-7,1-5,8-11,12-15,16-,17-19,-,20-,-,-,160,1,R,,Closer
Jose Mesa,'05,,261,Pirates,2,1-4,5-7,8-14,15-16,17-,18-19,-,20-25,-,26+,80,1,R,,Closer
Carlos Silva,'04,,261,Phillies,4,1-2,3-6,7-11,12-13,14-16,17-19,-,20-25,-,26+,70,1,R,,Reliever
Randy Wolf,'02,,261,Phillies,3,1-4,5-9,10-13,14-17,18-,19-,-,20-24,-,25+,300,6,L,,Starter
Oliver Perez,'05,,262,Pirates,4,1-4,5-11,12-15,16-17,18-,19-,-,20-23,-,24+,420,7,L,,Starter
Bob Wells,'00,,262,Twins,6,4-5,1-3,6-9,10-15,16-,17-19,-,20-,-,-,150,1,R,,Reliever
Freddy Garcia,'03,,263,Mariners,4,1-2,3-6,7-12,13-15,16-,17-19,-,20-21,-,22+,250,07,R,,Starter
Randy Wolf,'04,,263,Phillies,4,1-3,4-8,9-14,15-16,17-,18-19,-,20-23,-,24+,390,6,L,,Starter
Kris Benson,'04,,264,Pirates,2,1-3,4-7,8-13,14-18,19-,20-21,-,22-23,-,24+,240,6,R,,Starter
Josias Manzanillo,'02,,264,Pirates,5,1-3,4-9,10-13,14-17,18-,19-,-,20-26,-,27+,180,1,R,,Reliever
Salomon Torres,'05,,264,Pirates,4,1-4,5-13,14-16,17-,18-19,-,20-25,-,26+,,180,1,R,,Reliever
Jeff D’Amico,'04,,265,Pirates,2,1-2,3-5,6-11,12-16,17-,18-19,-,20-23,-,24+,50,6,R,,Starter
Kip Wells,'05,,266,Pirates,2,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+,180,6,R,,Starter
Jamie Moyer,'03,,266,Mariners,5,1-2,3-6,7-11,12-16,17-,18-19,-,20-21,-,22+,540,07,L,,Starter
Dustin Hermanson,'01,,266,Expos,2,1-3,4-5,6-12,13-16,17-,18-19,-,20-,-,-,220,6,R,,Starter
Todd Ritchie,'02,,267,Pirates,1,1-3,4-7,8-14,15-19,-,20-23,-,-,-,24+,340,07,R,,Starter
Joel Pineiro,'03,,268,Mariners,4,1-,2-5,6-12,13-16,17-,18-19,-,20-22,-,23+,300,5,R,R,Starter
Steve Kline,'01,,268,Expos,3,1-2,3-6,7-13,14-16,17-,18-19,-,20-,-,-,120,1,L,,Reliever
Brian Meadows,'04,,268,Pirates,3,1-0,2-4,5-12,13-16,-,17-19,-,20-24,-,25+,110,2,R,,Reliever
Felipe Lira,'01,,269,Expos,2,1-3,4-5,6-12,13-16,-,17-19,-,20-,-,-,40,1,R,,Reliever
Kazuhiro Sasaki,'03,,269,Mariners,6,1-2,3-9,10-14,15-17,18-19,20-21,-,22-,-,23+,270,1,R,,Closer
Dustin Hermanson,'00,,269,Expos,3,5-7,1-4,8-11,12-16,17-,18-19,-,20-,-,-,320,6,R,,Starter
Steve Kline,'00,,270,Expos,6,7-,1-6,8-13,14-15,16-17,18-19,-,20-,-,-,160,1,L,,Reliever
Anthony Telford,'01,,272,Expos,2,1-2,3-7,8-13,14-17,18-,19-20,-,-,-,-,130,1,R,,Reliever
Mike Thurman,'00,,272,Expos,5,4-6,1-3,7-11,12-15,16-17,18-19,-,20-,-,-,410,5,R,,Starter
Javier Vazquez,'01,,273,Expos,2,1-2,3-7,8-13,14-17,-,18-19,-,20-,-,-,350,07,R,,Starter
Ugueth Urbina,'00,,273,Expos,6,9-10,1-8,11-12,13-15,16-17,18-20,-,-,-,-,200,1,R,,Closer
Javier Vazquez,'01,,273,Expos,2,1-2,3-7,8-13,14-17,-,18-19,-,20-,-,-,350,07,R,,Starter
Junior Herndon,'02,,274,Padres,1,1-3,4-,5-13,14-17,18-,19-20,-,-,-,21+,160,5,R,,Starter
Javier Vazquez,'00,,274,Expos,5,5-6,1-4,7-11,12-15,16-,17-18,-,19-20,-,-,390,6,R,,Starter
Trevor Hoffman,'05,,274,Padres,6,1-4,5-10,11-14,15-17,18-,19-,-,20-24,-,25+,280,1,R,,Closer
Tevor Hoffman,'02,,275,Padres,2,1-3,4-10,11-14,15-19,20-,-,-,-,-,21+,120,1,R,,Closer
Jason Isringhausen,'03,,275,Cardinals,5,1-,2-7,8-14,15-16,17-,18-22,-,23-27,-,28+,230,1,R,,Closer
Adam Eaton,'04,,275,Padres,3,1-,2-5,6-12,13-16,17-,18-19,-,20-24,-,25+,230,6,R,,Starter
Matt Morris,'03,,276,Cardinals,4,1-3,4-7,8-15,16-,17-,18-20,-,21-24,-,25+,420,07,R,,Starter
Luther Hackman,'04,,276,Padres,1,1-2,3-9,10-14,15-16,17-18,19-,-,20-21,-,22+,10,1,R,,Reliever
Armando Benitez,'01,,277,Mets,4,1-3,4-11,12-14,15-17,18-19,-,-,20-,-,-,230,1,R,,Closer
Akinori Otsuka,'05,,278,Padres,5,1-3,4-9,10-15,16-17,18-,19-22,-,23-25,-,26+,240,1,R,R,Reliever
Brian Lawrence,'04,,278,Padres,3,1-,2-4,5-12,13-16,17-,18-19,-,20-23,-,24+,240,6,R,,Starter
Mike Hampton,'01,,279,Mets,3,1-2,3-6,7-14,15-16,17-18,19-20,-,-,-,-,460,07,L,,Starter
Mike Hampton,'01,,279,Mets,3,1-2,3-6,7-14,15-16,17-18,19-20,-,-,-,-,460,07,L,,Starter
Armando Benitez,'00,,279,Mets,3,13-,1-12,14-,15-18,19-20,-,-,-,-,-,190,1,R,,Closer
Jason Simontacchi,'03,,280,Cardinals,2,1-4,5-7,8-13,14-16,17-,18-19,-,20-22,-,23+,160,6,R,R,Starter
Jake Peavy,'05,,280,Padres,4,1-,2-7,8-13,14-16,17-,18-20,-,21-25,-,26+,470,6,R,,Starter
Al Leiter,'01,,281,Mets,4,1-4,5-9,10-14,15-16,17-,18-19,-,20-,-,-,460,07,L,,Starter
David Wells,'05,,281,Padres,5,1-,2-4,5-13,14-17,-,18-19,-,20-23,-,24+,480,6,L,,Starter
Dennis Cook,'00,,281,Mets,3,8-9,1-7,10-12,13-17,18-,-,-,19-,-,20+,90,1,R,,Reliever
Al Leiter,'01,,281,Mets,4,1-4,5-9,10-14,15-16,17-,18-19,-,20-,-,-,460,07,L,,Starter
Jim Brower,'05,,283,Giants,3,1-,2-5,6-13,14-16,17-,18-19,-,20-26,-,27+,140,1,R,,Reliever
Jim Brower,'04,,284,Giants,3,1-,2-5,6-13,14-16,17-,18-19,-,20-25,-,26+,130,2,R,,Reliever
Shawn Estes,'02,,284,Giants,5,1-3,4-6,7-12,13-15,16-17,18-19,-,20-26,-,27+,320,6,L,,Starter
Glendon Rusch,'01,,285,Mets,2,1-4,5-8,9-13,14-17,-,18-20,-,-,-,-,360,6,L,,Starter
Orel Hershiser,'00,,286,Mets,4,4-6,1-3,7-12,13-15,16-17,18-19,-,20-,-,-,360,6,R,,Starter
Scott Eyre,'05,,286,Giants,4,1-,2-5,6-10,11-15,16-17,18-19,-,20-23,-,24+,150,1,L,,Reliever
Joe Kennedy,'03,,286,Devil Rays,2,1-4,5-7,8-13,14-16,17-,18-19,-,20-22,-,23+,190,07,L,,Starter
Tanyon Sturtze,'03,,287,Devil Rays,1,1-5,6-8,9-14,15-16,17-,18-19,-,20-21,-,22+,10,07,R,,Starter
Robb Nen,'02,,287,Giants,3,1-3,4-11,12-16,17-19,-,20-26,-,-,-,27+,230,1,R,,Closer
Al Leiter,'00,,287,Mets,4,6-,1-5,7-11,12-15,16-17,18-19,-,20-,-,-,350,6,R,,Starter
Turk Wendell,'01,,288,Mets,4,1-3,4-8,9-13,14-16,17-18,19-,-,20-,-,-,160,1,R,,Reliever
Paul Wilson,'03,,288,Devil Rays,2,1-2,3-5,6-12,13-16,17-,18-19,-,20-,-,21+,120,07,R,,Starter
Russ Ortiz,'02,,288,Giants,4,1-3,4-7,8-13,14-17,18-,19-26,-,-,-,27+,570,07,R,,Starter
Rick White,'01,,289,Mets,5,1-2,3-6,7-12,13-16,17-,18-19,-,20-,-,-,360,2,R,,Reliever
Felix Rodriguez,'02,,289,Giants,3,1-3,4-11,12-14,15-19,20-26,-,-,-,-,27+,210,1,R,,Reliever
Felix Rodriguez,'04,,290,Giants,2,1-3,4-7,8-12,13-16,17-,18-19,-,20-25,-,26+,70,1,R,,Reliever
Jason Schmidt,'05,,290,Giants,5,1-2,3-8,9-14,15-17,18-,19-20,-,21-25,-,26+,580,7,R,,Starter
Kirk Rueter,'02,,290,Giants,4,1-3,4-5,6-11,12-15,16-,17-19,-,20-21,-,22+,150,6,L,,Starter
Hideki Irabu,'03,,291,Rangers,2,1-,2-4,5-12,13-15,16-,17-18,-,19-,-,20+,10,1,R,,Reliever
Kenny Rogers,'00,,291,Mets,0,5-6,1-4,7-14,15-18,19-,20-,-,-,-,-,190,6,R,,Starter
Roger Clemens,'01,,292,Yankees,2,1-3,4-8,9-13,14-17,18-19,20-,-,-,-,-,350,6,R,,Starter
Roger Clemens,'01,,292,Yankees,2,1-3,4-8,9-13,14-17,18-19,20-,-,-,-,-,350,6,R,,Starter
Brett Tomko,'05,,292,Giants,3,1-3,4-6,7-13,14-16,17-,18-19,-,20-24,-,25+,250,6,R,,Starter
Roger Clemens,'01,,292,Yankees,2,1-3,4-8,9-13,14-17,18-19,20-,-,-,-,-,350,6,R,,Starter
Jason Schmidt,'04,,292,Giants,6,1-3,4-8,9-13,14-16,17-,18-19,-,20-25,-,26+,670,7,R,,Starter
Jason Grimsley,'01,,293,Yankees,4,1-2,3-5,6-12,13-15,16-17,18-19,-,20-,-,-,120,1,R,,Reliever
Turk Wendell,'00,,293,Mets,3,7-8,1-6,9-11,12-16,17-,18-19,-,20-,-,-,100,1,R,,Reliever
Masato Yoshii,'00,,294,Mets,3,5-,1-4,6-10,11-16,17-,18-,-,19-20,-,-,270,6,R,,Starter
Tim Worrell,'04,,294,Giants,6,1-4,5-8,9-14,15-,16-17,18-22,-,23-25,-,26+,200,1,R,,Closer
Orlando Hernandez,'01,,294,Yankees,3,1-4,5-8,9-12,13-17,-,18-,-,19-,-,20+,290,07,R,,Starter
Ryan Franklin,'05,,295,Mariners,2,1-3,4-6,7-12,13-16,17-,18-19,-,20-23,-,24+,90,6,R,,Starter
Freddy Garcia,'02,,296,Mariners,4,1-3,4-7,8-14,15-18,-,19-,-,20-26,-,27+,570,07,R,,Starter
Kenny Rogers,'03,,296,Rangers,3,1-2,3-5,6-13,14-16,17-,18-19,-,20-22,-,23+,270,6,L,,Starter
Eddie Guardado,'05,,296,Mariners,5,1-,2-7,8-11,12-16,17-,18-19,-,20-21,-,22+,180,1,L,,Closer
Roger Clemens,'00,,296,Yankees,3,6-7,1-5,8-12,13-16,17-18,19-20,-,-,-,-,400,6,R,,Starter
David Cone,'00,,297,Yankees,5,6-7,1-5,8-11,12-15,16-17,18-19,-,20-,-,-,460,6,R,,Starter
Shigetoshi Hasegawa,'05,,297,Mariners,2,1-3,4-7,8-13,14-16,17-,18-19,-,20-25,-,26+,80,1,R,,Reliever
Ismael Valdes,'03,,297,Rangers,4,1-,2-4,5-10,11-16,17-,18-19,-,20-21,-,22+,380,6,R,,Starter
Ryan Franklin,'04,,297,Mariners,4,1-4,5-7,8-13,14-17,-,18-19,-,20-22,-,23+,350,7,R,,Starter
Denny Neagle,'01,,299,Yankees,2,1-4,5-8,9-12,13-17,18-,19-,-,20-,-,-,280,6,L,,Starter
Shigetoshi Hasegawa,'04,,299,Mariners,5,1-,2-4,5-12,13-16,17-,18-19,-,20-25,-,26+,200,1,R,,Closer
Jeff Nelson,'01,,300,Yankees,6,1-2,3-8,9-12,13-15,16-18,19-,-,20-,-,-,220,1,R,,Reliever
Orlando Hernandez,'00,,300,Yankees,3,5-7,1-4,8-11,12-17,18-,19-,-,20-,-,-,430,6,R,,Starter
Joel Pineiro,'05,,300,Mariners,3,1-2,3-6,7-12,13-15,16-,17-19,-,20-23,-,24+,190,7,R,,Starter
Jamie Moyer,'02,,300,Mariners,2,1-4,5-7,8-13,14-19,-,20-22,-,-,-,23+,470,6,L,,Starter
Kelvim Escobar,'03,,301,Blue Jays,1,1-3,4-9,10-14,15-16,17-19,20-21,-,22-,-,23+,80,1,R,,Closer
Jeff Nelson,'02,,301,Mariners,5,1-2,3-10,11-14,15-17,18-26,-,-,-,-,27+,260,1,R,,Reliever
